Metal,Group,n_type,n_analyte (RIU),Theta_res (deg)
Ag,negative,low,1.3471,63.698381924395
Ag,negative,center,1.3481,63.79020181930333
Ag,negative,high,1.3491,63.88233125695696
Ag,positive,low,1.3482,63.799402615212394
Ag,positive,center,1.3492,63.891561554557086
Ag,positive,high,1.3502,63.98403490458632
Ag,positive,mean,-,63.891666358118606
Ag,positive,std,-,0.07537585293140203
Ag,negative,mean,-,63.79030500021843
Ag,negative,std,-,0.07509703599221226
Au,negative,low,1.3471,63.73482257807828
Au,negative,center,1.3481,63.826684513857145
Au,negative,high,1.3491,63.91885075535349
Au,positive,low,1.3482,63.835888285061586
Au,positive,center,1.3492,63.928085531203564
Au,positive,high,1.3502,64.02059557786703
Au,positive,mean,-,63.92818979804406
Au,positive,std,-,0.07540647256727727
Au,negative,mean,-,63.82678594909631
Au,negative,std,-,0.07512922300782729
Cu,negative,low,1.3471,63.64012500349637
Cu,negative,center,1.3481,63.73138855645416
Cu,negative,high,1.3491,63.82295251941549
Cu,positive,low,1.3482,63.74053133653704
Cu,positive,center,1.3492,63.83212568408145
Cu,positive,high,1.3502,63.92402476302427
Cu,positive,mean,-,63.83222726121426
Cu,positive,std,-,0.0749109121087251
Cu,negative,mean,-,63.731488693122
Cu,negative,std,-,0.07463905440988541
