Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,67.89,1.7000000000000028,127.2727272727418,74.86631016043623,39.93529411764699,125.3395156610238,73.72912685942563,39.93529411764699
46,67.88,1.6000000000000085,118.18181818183999,73.8636363636496,42.42499999999977,125.3395156610238,78.33719728813945,42.42499999999977
47,67.86,1.5100000000000051,118.18181818183999,78.26610475618516,44.94039735099322,125.3395156610238,83.00630176226713,44.94039735099322
48,67.85,1.4299999999999926,127.2727272727418,89.00190718373598,47.44755244755269,125.3395156610238,87.65001095176534,47.44755244755269
49,67.84,1.3500000000000085,127.27272727275472,94.27609427611401,50.251851851851534,125.3395156610238,92.84408567483186,50.251851851851534
50,67.83,1.3000000000000114,127.2727272727418,97.90209790210822,52.17692307692262,125.3395156610238,96.41501204694053,52.17692307692262
51,67.82,1.230000000000004,118.18181818182707,96.0827790096152,55.13821138211364,125.3395156610238,101.90204525286454,55.13821138211364
52,67.81,1.1799999999999926,127.2727272727418,107.85824345147678,57.466101694915615,125.3395156610238,106.21992852629202,57.466101694915615
53,67.8,1.1400000000000006,127.27272727275472,111.64274322171461,59.47368421052629,125.3395156610238,109.94694356230153,59.47368421052629
54,67.8,1.0900000000000034,118.18181818183999,108.42368640535744,62.20183486238513,125.3395156610238,114.99038134038844,62.20183486238513
55,67.78999999999999,1.0600000000000023,127.2727272727418,120.06861063466182,63.9528301886791,125.3395156610238,118.24482609530521,63.9528301886791
