Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Empirical_deg_per_RIU;Chi_Empirical;Q_Empirical;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Ag;analyte_01;45;6.534.072.873.677.290;0.5700000000000074;9.685.371.097.173.050;;;;;
Ag;analyte_01;46;6.532.772.025.786.780;0.5200000000000102;968.263.155.699.951;;;;;
Ag;analyte_01;47;6.531.613.612.924.210;0.46999999999999886;9.680.291.518.846.120;;;;;
Ag;analyte_01;48;653.058.200.199.416;0.4299999999999926;9.678.470.235.724.060;;;;;
Ag;analyte_01;49;652.966.234.337.405;0.3999999999999915;967.699.268.731.511;;;;;
Ag;analyte_01;50;6.528.842.495.510.030;0.37000000000000455;9.676.224.045.484.190;;;;;
Ag;analyte_01;51;6.528.110.431.491.030;0.3400000000000034;9.674.916.518.985.000;;;;;
Ag;analyte_01;52;6.527.457.096.035.340;0.3200000000000074;9.673.511.125.006.190;;;;;
Ag;analyte_01;53;6.526.873.693.951.800;0.29999999999999716;9.674.011.232.096.640;;;;;
Ag;analyte_01;54;6.526.350.840.893.730;0.28000000000000114;9.671.963.155.238.950;;;;;
Ag;analyte_01;55;6.525.884.526.118.740;0.269999999999996;9.673.246.873.648.590;;;;;
Ag;analyte_02;45;6.523.418.965.470.400;0.5600000000000023;9.685.371.097.173.050;17.295.305.530.666.000;11.648.962.438.339.900;9.651.955.073.156.900;17.235.634.059.208.600;11.648.962.438.339.900
Ag;analyte_02;46;6.522.121.131.074.080;0.5099999999999909;968.263.155.699.951;18.985.552.072.548.300;12.788.472.806.027.800;9.651.955.073.156.900;18.925.402.104.229.500;12.788.472.806.027.800
Ag;analyte_02;47;6.520.965.292.253.480;0.46999999999999886;9.680.291.518.846.120;20.596.364.933.715.200;13.874.394.238.837.200;9.651.955.073.156.900;20.536.074.623.738.100;13.874.394.238.837.200
Ag;analyte_02;48;6.519.935.684.734.860;0.4300000000000068;9.678.470.235.724.060;2.250.807.031.563.700;15.162.641.127.290.100;9.651.955.073.156.900;22.446.407.146.876.100;15.162.641.127.290.100
Ag;analyte_02;49;6.519.017.651.418.000;0.4000000000000057;967.699.268.731.511;24.192.481.718.287.400;16.297.544.128.544.700;9.651.955.073.156.900;24.129.887.682.891.900;16.297.544.128.544.700
Ag;analyte_02;50;651.819.864.906;0.37000000000000455;9.676.224.045.484.190;261.519.568.796.867;1.761.675.310.556.730;9.651.955.073.156.900;26.086.365.062.585.900;1.761.675.310.556.730
Ag;analyte_02;51;6.517.468.023.320.140;0.3400000000000034;9.674.916.518.985.000;28.455.636.820.543.800;19.169.023.598.000.200;9.651.955.073.156.900;2.838.810.315.634.350;19.169.023.598.000.200
