Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Ag;analyte_01;45;65,340729;0,57;;;
Ag;analyte_01;46;65,327720;0,52;;;
Ag;analyte_01;47;65,316136;0,47;;;
Ag;analyte_01;48;65,305820;0,43;;;
Ag;analyte_01;49;65,296623;0,40;;;
Ag;analyte_01;50;65,288425;0,37;;;
Ag;analyte_01;51;65,281104;0,34;;;
Ag;analyte_01;52;65,274571;0,32;;;
Ag;analyte_01;53;65,268737;0,30;;;
Ag;analyte_01;54;65,263508;0,28;;;
Ag;analyte_01;55;65,258845;0,27;;;
Ag;analyte_02;45;65,234190;0,56;96,5196;172,3563;116,4896
Ag;analyte_02;46;65,221211;0,51;96,5196;189,2540;127,8847
Ag;analyte_02;47;65,209653;0,47;96,5196;205,3607;138,7439
Ag;analyte_02;48;65,199357;0,43;96,5196;224,4641;151,6264
Ag;analyte_02;49;65,190177;0,40;96,5196;241,2989;162,9754
Ag;analyte_02;50;65,181986;0,37;96,5196;260,8637;176,1675
Ag;analyte_02;51;65,174680;0,34;96,5196;283,8810;191,6902
Ag;analyte_02;52;65,168162;0,31;96,5196;311,3534;210,2199
Ag;analyte_02;53;65,162323;0,29;96,5196;332,8260;224,6977
Ag;analyte_02;54;65,157117;0,28;96,5196;344,7127;232,7040
Ag;analyte_02;55;65,152440;0,26;96,5196;371,2290;250,5863
Au;analyte_01;45;66,298424;1,63;;;
Au;analyte_01;46;66,282015;1,53;;;
Au;analyte_01;47;66,267298;1,44;;;
Au;analyte_01;48;66,254095;1,36;;;
Au;analyte_01;49;66,242242;1,30;;;
Au;analyte_01;50;66,231594;1,23;;;
Au;analyte_01;51;66,222027;1,18;;;
Au;analyte_01;52;66,213427;1,13;;;
Au;analyte_01;53;66,205692;1,08;;;
Au;analyte_01;54;66,198732;1,04;;;
Au;analyte_01;55;66,192467;1,00;;;
Au;analyte_02;45;66,186466;1,61;101,9735;63,3376;41,1096
Au;analyte_02;46;66,170029;1,52;101,9735;67,0878;43,5329
Au;analyte_02;47;66,155285;1,44;101,9735;70,8149;45,9412
Au;analyte_02;48;66,142054;1,36;101,9735;74,9805;48,6339
Au;analyte_02;49;66,130174;1,29;101,9735;79,0492;51,2637
Au;analyte_02;50;66,119502;1,23;101,9735;82,9053;53,7557
Au;analyte_02;51;66,109909;1,17;101,9735;87,1568;56,5042
Au;analyte_02;52;66,101282;1,12;101,9735;91,0477;59,0190
Au;analyte_02;53;66,093523;1,07;101,9735;95,3023;61,7696
Au;analyte_02;54;66,086540;1,04;101,9735;98,0514;63,5448
Au;analyte_02;55;66,080252;0,99;101,9735;103,0035;66,7477
Cu;analyte_01;45;66,147184;1,99;;;
Cu;analyte_01;46;66,133158;1,89;;;
Cu;analyte_01;47;66,120602;1,82;;;
Cu;analyte_01;48;66,109364;1,74;;;
Cu;analyte_01;49;66,099306;1,67;;;
Cu;analyte_01;50;66,090301;1,62;;;
Cu;analyte_01;51;66,082246;1,56;;;
Cu;analyte_01;52;66,075043;1,52;;;
Cu;analyte_01;53;66,068606;1,47;;;
Cu;analyte_01;54;66,062854;1,44;;;
Cu;analyte_01;55;66,057726;1,41;;;
Cu;analyte_02;45;66,036121;1,98;100,9958;51,0080;33,3516
Cu;analyte_02;46;66,022066;1,89;100,9958;53,4369;34,9323
Cu;analyte_02;47;66,009484;1,80;100,9958;56,1088;36,6719
Cu;analyte_02;48;65,998217;1,73;100,9958;58,3791;38,1493
Cu;analyte_02;49;65,988130;1,66;100,9958;60,8408;39,7519
Cu;analyte_02;50;65,979101;1,61;100,9958;62,7303;40,9808
Cu;analyte_02;51;65,971021;1,55;100,9958;65,1586;42,5619
Cu;analyte_02;52;65,963793;1,50;100,9958;67,3305;43,9759
Cu;analyte_02;53;65,957332;1,46;100,9958;69,1752;45,1763
Cu;analyte_02;54;65,951558;1,43;100,9958;70,6264;46,1200
Cu;analyte_02;55;65,946406;1,40;100,9958;72,1399;47,1046
